year,sentence
2005,"JORDAN--Greg. April 20, 2005. Beloved son of Patricia Jordan and the late Joe Jordan. Brother of Jeff Jordan. He will be deeply missed by all who knew and loved him. Friends may call Sunday, April 24, 2-5 and 7-9 PM at Frank E. Campbell, 1076 Madison Ave at 81 St. Service Monday, April 25, 12 Noon at Marble Collegiate Church, 5th Ave at 29th St. In lieu of flowers, contributions in his memory may be made to IN GODS LOVE WE DELIVER, 166 Ave of the Americas, NY, NY 10013 Paid Notice: Deaths   JORDAN, GREG"
1963,E Ger irregularly slows civilian traffic to and from W Ger; speculation TRAFFIC TO BERLIN HARASSED BY REDS; But East Germans Avoid Major Steps Against West
1991,*3*** COMPANY REPORTS ** Portage Industries Corp. reports earnings for Qtr to Sept 30
2006,"FAUSER--Joseph E., 88. On February 8, 2006. Known as Buddy. He was the beloved husband of Helen. For 62 years no day passed without Helen and Buddy expressing their love for each other. Also, the proud father of Robert and Arlene Fauser, Jill and Richard Israel, dear brother of Doris Brisbane and the late Charles Fauser. Devoted grandfather to Chad and Patti Fauser and Scott Alessandro and delighted great-grandfather to Darian and Devan. Bud was unique. He lived a full and honorable life. He served in the military during WWII and played football at Brooklyn Polyprep LIU and and semi-professionally. His memory will be a blessing and a source of strength and inspiration to his family and all who knew him. We will miss him. Services Friday February 10, 11:15 at Riverside Chapel. The family will welcome guests at the home of Robert Fauser Friday, February 10 at 3 PM and Sunday Februay 12 from 1-5 PM.     $(6$)FAUSER--Joseph E. Beloved husband of Helen. Devoted father of Robert and Arlene Fauser, Jill and Richard Israel, dear brother of Doris Brisbane, loving grandfather of Chad and Scott, and greatgrandfather of Darian and Devon. Services Friday, 11:15AM, ''The Riverside,'' 76 St. and Amsterdam Ave. Paid Notice: Deaths   FAUSER, JOSEPH E."
1993,"  To the Editor:   The report by the American Symphony Orchestra League seems to miss a simple point, which is that people, not only sociologists, attend concerts.  DAVID SERMERSHEIM Killingworth, Conn. The People Factor"
2009,"In the third annual “Red Bull: New Year. No Limits.” event, Travis Pastrana will take off from a ramp on a pier and attempt to land his Subaru Impreza STI on a floating barge in the harbor. Pastrana Attempts Rally Car Jump Record"
1971,demise of guerrilla movement in Jordan revd in light of movement's goals and activities since its founding shortly before '67 war The World
1962,"Gould, Nathaniel J DR. NATHANIEL J. GOULD"
2017,"A roundup of partisan writing that includes the conservative case for a single-payer system, three political myths Trump has helped to bust and a comic you won’t believe. Right and Left React to Trump’s Comments on the Civil War"
1990,"LEAD: Capital Cities/ABC and the Writers Guild of America, East, agreed yesterday on the terms of a three-year contract covering about 150 network and local news writers, editors and other staff members in New York and Washington and graphic artists in Washington. If approved on Monday by the membership, the contract will take effect immediately and run through Feb. ABC and Writers Guild Agree on a Contract"
1986,"It's the week before finals and I'm swamped with all the work that didn't get done the first time around. So let's just say that I'm not in a good frame of mind. The word ''frantic'' occurs to me. But ''desperate'' seems about right. Even after adjusting for the season - allowing for less sleep, more work, strange hours - it's still pretty awful if I think about it, which I don't. Not voluntarily, at least. That's not my style. Thinking about my work is not what I call ''a good time.'' But then, each of us has a different strategy for dealing with pressure. The Diploma That Life Confers"
1962, Article 6 -- No Title
1988,"LEAD:         *3*** COMPANY REPORTS **    *3* Furnishings 2000        Qtr to March 31   1988   1987                     Sales   24,844,000   20,731,000              Net loss   179,000   3,762,000              9mo sales   78,295,000   64,160,000              Net loss   947,000   8,742,000             Furnishings 2000 reports earnings for Qtr to March 31"
1974,"In the previous 30 years as coach at Riverdale School, Frank Bertino&#8208;coached teams never lost their first two games successively. Yesterday however, McBurney School washed that record away when pit trounced the Indians, 38&#8208;14, at the loser's Bronx. Last week, Riverdale Riverdale Defeated, 38‐14"
1989,"LEAD:  JERSEY CITY JAZZ  Noel Pointer, that charming master of the electronic violin, will join Lonnie Liston Smith, a keyboard musician, Saturday evening for a jazz concert at Jersey City State College. NEW JERSEY GUIDE"
2002,"Article on plan approved by Board of Alderman in Milford, Conn, to obtain majority of 2.5-acre Stowe House site, dating back to Revolutionary War period, from developer Ronald Standish in order to preserve historic farm compound; photo (M) Stowe Property Gets New Life"
1969,Diamond ends testimony by acknowledging that his version of how Sirhan killed Kennedy might seem like 'incredible story' but insists his findings are real; Cooper reads to jury transcript of what took place in Walker's chambers after Sirhan outburst over placing of his notebooks in evidence; defense rests SIRHAN DEFENSE CLOSES ITS CASE; Expert Insists View Is Valid Even if It Seems 'Absurd'
1990,"LEAD: New York City's property-tax system, which has been criticized for a decade for placing a heavier burden on less-affluent homeowners than on wealthier ones, appears to have grown more inequitable. UNEQUAL BURDEN: NEW YORK CITY PROPERTY TAXES - A SPECIAL REPORT:   Some of the Rich Pay Less Tax Than the Other Homeowners"
2008,Plans to build a huge modern complex in San Francisco’s Presidio district have come up against fierce opposition. Art and History Clash in San Francisco
1988,"LEAD: The City Opera has the ingredients for a good solid ''Tosca'' this season, and that is what the company gave at the opera's first outing Friday night. Leading the cast was Linda Roark-Strummer, who sang the title part even more securely than she had last season. Review/City Opera; 'Tosca,' A Standard, Returns"
1962,Article on Purdue U aircraft operations PURDUE'S AIRLINE TO ADD EQUIPMENT; Radar and Navigation Gear to Be Installed on DC-3's One Cargo Carrier
1999,"A Japanese manager shocked the nation when he committed hara-kiri in a protest of the corporate restructuring that is starting to take place across the country. Moments before he slashed his stomach with a 14-inch fish-slicing knife, Masaharu Nonaka had been in heated talks with the president of the Bridgestone Corporation, one of the world's largest tire makers.   March 21-27; In Japan, a Ritual Suicide Strikes a Chord"
1984,"  THE scores of Soviet writers who have found their way to the West in the last decade were evidently accompanied by their Slavic muse. Most of them continue to write in Russian about Russia, to associate with other emigres and to lament what they believe is a lack of understanding among Americans about the nature of the Soviet regime.    That concern came through forcefully in recent interviews with three novelists now living on the East Coast, whose work has made an impact here and abroad in the last few months. They are Vasily Aksyonov, author of ''The Island of Crimea,'' published by Random House, a political fantasy about an independent Crimea trying to survive in the shadow of Soviet power; Sergei Dovlatov, author of ''The Compromise,'' a takeoff on Soviet journalism published by Alfred A. Knopf, and Yuz Aleshkovsky, whose novel ''Kangaroo,'' a surrealistic satire about the Soviet secret police, appeared in France last year to favorable reviews and is due to be published in this country in July by Farrar, Straus & Giroux. EMIGRE NOVELISTS LOOK AT U.S."
1961,"Webster, Beveridge WEBSTER RECITAL HIGHLIGHTS SKILL; Technique and Personality Reflected in Program"
1965,"Sleeping Car Porters postpones strike against C,B&Q at request of NMB; seeks to cut work mo from 205 to 174 hrs Burlington Train Porters Call Strike, Then Cancel It"
1969,W W Pevear (Irving Trust) says he doubts tendency toward drop in some short-term interest rates has much significance as indicator of underlying supply of and demand for credit; holds Fed Reserve is determined to press policy of monetary restraint until inflation is brought under control; sees Reserve willing to risk fairly severe business slump; holds it is far too soon to expect fundamental change in desire of business to borrow Retiring Financier Is Not Dismayed by Trend in Rates; Financier Is Undaunted by Rate Trend
2005,"Supreme Court nominee Harriet E Miers is asked to resubmit parts of her judicial questionnaire by Republican and Democatic leaders of Senate Judiciary Committee, who say members found her responses 'inadequate,' 'insufficient' and 'insulting'; they fault what they call incomplete responses about her legal career, her work in White House, her potential conflicts on cases involving administration and suspension of her license by District of Columbia Bar; they also ask her to provide detailed accounts of private reassurances about her views given by White House or its allies to some conservative supporters who have been anxious about her positions on abortion and other social issues; Sen Arlen Specter, chairman of committee, schedules hearings on her confirmation to begin Nov 7, overruling Democratic objections that they do not have enough information to evaluate her; both Specter and senior Democrat on panel, Patrick J Leahy, say they would not set any deadline for conclusion of hearings; photo (M) Court Nominee Is Asked toRedo Reply to Questions"
2008,"Mr. Sievers was a television news producer who covered more than a dozen wars but became best known to the public as he chronicled his illness for NPR in a blog called “My Cancer.” Leroy Sievers, 53, Journalist Who Wrote of Cancer Battle, Dies"
2008,To the Editor:. Partisans and Progressives
1962,Mayor Wagner proclaims Aug 13 Remember Berlin Day; gives proclamation to Budapest ex-Mayor Kovago who will deliver it to Brandt Next Monday Proclaimed As 'Remember Berlin Day'
2011,"The medical literature is rife with explanations for yawning, but one has gained substantial ground in recent years: This mysterious habit may help regulate brain temperature. Really? The Claim: Yawning Cools the Brain"
1999,"Jane E Brody Personal Health column reports on foods and beverages that offer promise of a healthier heart, often with other protective benefits as well; notes that if weight is not a problem, one may not have to eat low-fat at all, as long as fats one eats are right kinds of fats; discusses good fats and bad fats; discusses heart-healthy foods, and healthful consumption of tea and alcohol (M) There's Plenty of Choice in a Diet for a Healthier Heart"
1963, La Famille
1969,"Jensen, David S DAVID S. JENSEN"
1983,*3*** COMPANY REPORTS ** ROYAL RESOURCES CORP reports earnings for Qtr to Dec 31
1997,"At least 26 people, many police officers, are arrested at ranch in western state of Sinaloa during wedding party for sister of Amado Carrillo Fuentes, reputed to be nation's top drug trafficker (S) 26 Arrested in Mexico; Major Drug Tie Suspected"
2009,The final round of competition at the 32nd Annual American Crossword Puzzle Tournament Day 2: The Finals at the Crossword Tournament
2017,A store clerk goes above and beyond. Rain Checked
1961,Austria fears defeat when UN com takes up Alto Adige dispute; seeks to postpone hearing AUSTRIANS FEAR SETBACK ON TYROL; Delegation Expects Strong Case by Italy in U.N.
2008,"For a second day, the heads of the Detroit automakers and the United Auto Workers are in a Congressional hearing room today, making the case for a federal rescue. Live Blogging: Automakers on the Hill, Day 2"
1988,"LEAD: About 200,000 people gathered peacefully in a square in Yerevan today in the second large demonstration in the Armenian capital this week, an Armenian dissident said. 200,000 Reportedly Gather At Rally in Armenian Capital"
2000,"David Hajdu article on Jane Monheit, jazz singer; says she has become one of most talked-about singers, not only for her lush voice but also for story her music and career tell about state of jazz today; says Monheit has emerged as young siren in tradition of swing-era chanteuse, who seems to embody mainstream jazz's wholesale submission to nostalgia; photo (L) Things Are What They Used to Be"
1998,"Correction of Nov 3 article, which misstated outcome of Elizabeth, NJ, school district probe into alleged threat to student by vice principal; no decision has been reached yet Corrections"
2019,"The officer, who said he was “terrified with fear,” remained on a floor below a gunman as he shot into a crowd of concertgoers, killing 58 people and injuring more than 800. Las Vegas Police Fire an Officer Who ‘Froze’ During the 2017 Massacre"
1960,"LAUREL, Md., April 30 (AP) -- Alfred Gwynne Vanderbilt's Idolater, declared out of the Kentucky Derby after finishing ninth in last week's Wood Memorial, was back in the 3-yearold classic picture today after his easy victory in the $15,000added Maryland Derby.   2-5 FAVORITE WINS LAUREL MILE RACE; Idolater Beats Lady's Maid by 4 1/2 Lengths in 1:38.6 -- Cold Cut Is Third"
1973,"April 23, 1973 The Proceedings In the U.N. Today"
1990,"LEAD: Glenn Healy, without a notion where the puck was, stood still in his goal crease and began to piece together reality, bit by painful bit. Healy Gets 3 Clues and Bad Answer"
2017,"There was a lot to criticize about broadcast TV, but it brought the nation together. Streaming services are doing the opposite. How Netflix Is Deepening Our Cultural Echo Chambers"
1986,"''BONG BONG,'' began the keynote speaker at the meeting of the newly formed Connecticut Robotics Society. ''Hello, everybody. I am very clever, but this is not unusual, because all robots are very clever.''

A dozen robot buffs, among them computer programmers, science teachers and high-school students, paid close attention to Gemini, the robot, as he exhibited his considerable virtuosity. ROBOTICS SOCIETY ORGANIZES TO SWAP THE NEW TECHNOLOGY"
2009,"Pittsburgh's Ruslan Fedotenko has 14 points in this spring's playoffs, seven of them goals. But the goals he was asked about Friday morning came five years ago in a similar situation. Fedotenko's Game 7 Goals Are 'in the Past'"
1983,"  IT was somewhat sad to listen to    ''Grand Pianola Music'' by   John Adams which was played   by Solisti New York at the 92d Street Y on Saturday night, conducted by Ransom Wilson. This 1982 work was clearly written by an immensely talented composer, who created, with his pair of pianos, percussion, double winds and brass, and cooing soprano vocalists some striking sonorities and extravagantly imaginative effects.   Beginning in a repetitious haze, sounds gradually took shape, bowed cymbals punctuating pianistic patter, a percussive flash climactically giving way to brass proclamations. There were invocations of jazz, pop song, Coplandesque soundscapes and Rachmaninoffian soulfulness, all stir- fried with Minimalist techniques. MUSIC: SOLISTI PLAYS MINIMALIST WORKS"
1988,"LEAD: There is no Hearn's, or Sachs Quality, or Ludwig-Baumann's. Those once-busy stores are now nothing more than names from the past. But crowds still come to the Hub, a five-block shopping area in the heart of the South Bronx. More Taxes? Hub Merchants Say Yes!"
1990,"LEAD: With their week-old strike against Greyhound Bus Lines showing that it may be a long and bitter struggle, officials of the Amalgamated Transit Union insist that more than 7,000 union employees will be rehired no matter how the strike ends. Heightened Risk of Job Loss Is Seen in Greyhound Strike"
1963, Von Homburg to Fight Here Against McKinney on Jan. 6
2004, After Arafat : Dear Marwan:Don't do it
1967,"P L Thomas sues, Fed ct, charging members of Playboy Clubs Internatl got lifetime memberships for $25-50 but later were told to pay $5 annual fee A $6-Billion Suit Is Filed Against the Playboy Clubs"
1975,"The assistant medical examfiner, John J. Furey, ruled yesterday that Frederick C. Pirona, whose body was found Thursday night in a Queens parking lot after he had intervened ?? a fight between three teen&#8208;age girls, had died of a heart attack and was not a victim of homicide. Man Who Broke Up Queens Fight Died Of a Heart Attack"
1960,"Bell, D: The End of Ideology: On the Exhaustion of Political Ideas in the Fifties In the American Fashion; THE END OF IDEOLOGY: On the Exhaustion of Political Ideas in the Fifties. By Daniel Bell. 416 pp. Glen- coe, Ill.: The Free Press. $7.50."
1985,"  In a follow-up to the anti-takeover strategy that led to a settlement with T. Boone Pickens, the Unocal Corporation yesterday registered a master limited partnership, a portion of which it will sell to the public and a portion of which it will distribute as an extra dividend to its shareholders.   The partnership, Union Exploration Partners Ltd., will contain 45 percent of the company's domestic oil and gas reserves and about 900,000 undeveloped acres.   Union Oil, a wholly owned subsidiary of Unocal, will own about 96.6 percent of the partnership and the remaining 3.4 percent, equal to 7.7 million units, will be sold for between $22 and $26 a unit in an initial public offering after the Securities and Exchange Commission allows the registration statement to become effective. A LIMITED PARTNERSHIP ESTABLISHED BY UNOCAL"
1985,"  COSTAS FERRIS'S ''Rembetiko'' has a firmer place in the annals of Greek musicology than it does in filmdom, since it is primarily an attempt to trace the origins of the dolorous, Eastern-influenced popular music for which it is named. Along the way, the film attempts to dramatize some important events in 20th-century Greek history and to offer a biography of a famous rembetiko singer named Marika Ninou. It is least successful when it tries to commingle all three of these threads, since it does this in such a confused and fancifully meandering style. It works best when the characters, all of them musicians, simply play and sing. SCREEN: 'REMBETIKO'"
1991,"  Seeking to lower the cost and quicken the pace of cleaning up the nation's abandoned hazardous waste dumps, the Environmental Protection Agency said today that it would replace companies that have performed ineffectively andwould establish an office to monitor contractors more closely.   William K. Reilly, the Federal agency's administrator, said the steps were intended to improve the management of the Superfund program, a Government- and industry-financed effort begun in 1980 to respond to poisons leaking from abandoned chemical waste sites across the country. E.P.A. Announces New Steps To Prod Cleanup of Wastes"
1961," DOLL LINE EXPANDED; Mattel, Inc., Plans to Produce New Teen-Age Boy Model"
1960,Comm opposes curbs; scored by Stratton and Keating Tariff Commission Bars More Curbs On Glove Imports
2010,"Ben S. Bernanke, who began his second term as chairman of the Federal Reserve in 2010, grew up in a small Southern town.  A Fed Chairman's Life "
1977,"Educ Comm of States appraisal of educ performance of Amer students with Spanish heritage finds they learn substantially less in school than do other whites but more than blacks; findings and their implications detailed (M) Tests Find Lag by Hispanic Pupils,"
1970,"SUTTON, Mass., Aug. 22&#8212;Billy Casper retained the lead in the $160,000 Avco Golf Clas sic today by a stroke with a 54&#8208;hole total of 208. Casper's 208 Leads Avco Golf As 4 Players Trail by Stroke"
1995,"  When the courts held that American Nazis had a constitutional right to march through the streets of Skokie, Illinois, freedom of speech was the more secure for all of us. But it did not follow that we should be indifferent to the hateful message of the Nazis. To the contrary.   The First Amendment gives us responsibility along with freedom: the responsibility to answer propagators of hate. As Justice Brandeis put it, arguing against the suppression of bad speech, ""The fitting remedy for evil counsels is good ones."" Abroad at Home; Words Matter"
1963,"NEW YORK. Short interest on the New  York Stock Exchange as of Jan. 15 fell to 5,736,831 from the revised figure of 6,436,215 shares on Dec. 18, the exchange announced yesterday.   11% DROP SHOWN ON SHORT INTEREST; N.Y. Exchange Registers 5,736,831 Shares"
1985,"  United Airlines and its 5,000 pilots have reached a tentative agreement to end the pilots' 26-day-old strike, the National Mediation Board announced yesterday.   The key provision is a formula for settling back-to-work issues that were the last major obstacles to a new contract. The economic issues that precipitated the walkout were resolved three weeks ago. The economic package provides for a two-tier wage scale under which newly hired pilots would initially receive much lower pay than provided in the current contract. PILOTS AND UNITED IN TENTATIVE PACT TO END WALKOUT"
1989,"LEAD:  INTERNATIONAL A3-17  The West should help out Moscow, particularly with economic concessions, President Bush said. But he would not endorse President Gorbachev's comment that the cold war epoch was over. Page A1 NEWS SUMMARY"
1996,"The latest set of new anchors for CBS's morning program will be Jane Robelot, Mark McEwen and Jose Diaz-Balart, CBS News announced yesterday. They will replace Paula Zahn, who will become the Saturday ""Evening News"" anchor, and Harry Smith, who has been asked to remain as an ""Evening News"" correspondent but has not signed a contract.         The morning program, now called ""CBS This Morning,"" will change substantially on Aug. 5, when local stations will be given the option of broadcasting two full hours of the national network program or taking over chunks of the 7 A.M. to 8 A.M. hour for local segments. The show will be renamed ""This Morning"" so local stations can attach their own names to it if they wish -- ""Channel 2 This Morning,"" for example.    Restyled 'CBS This Morning' Names 3 New Co-Anchors"
1965,producers of Jones plays Dutchman and The Toilet charge Hollywood police and press try to put them out of business HARASSMENT' HURTS LE ROI JONES PLAYS
1985,"  Kent Hrbek and Roy Smalley hit homers in a six-run fifth inning that sent the streaking Minnesota Twins to a 7-3 victory over the Detroit Tigers today. The victory was the 10th straight for the Twins.   The Twins are two victories from their longest streak ever - 12 games between Sept. 19 and Oct. 3, 1980.   Frank Viola, who walked five and struck out four, gave up seven hits and three runs in five and one-third innings, improving his record to 4-2. Rick Lysander pitched one-hit ball for three and two-thirds innings, picking up his second save.   TWINS BEAT TIGERS, 7-3, FOR 10TH IN A ROW"
1993,"IT was as unexpected as a tidal wave on the Great Hungarian Plain. From the medieval square below my hotel window came strains of ""Let's Go to the Hop"" and ""Justified and Ancient"" followed by a distant drum roll and the sound of blaring trumpets. I threw open the shutters to behold a group of pompon girls dressed in the shortest of red polka-dot skirts gyrating before a statue of the national hero Istvan Dobo. And then a band of swarthy, costumed characters, who looked like they had just stepped out of a deck of old playing cards, marched past from a narrow side street.

I was in Eger in northeast Hungary, about halfway between Budapest and my next stop, Tokay, and the town was celebrating its fraternity with Tuscany's Arezzo in a modern and ancient way that seemed just right for this historic, relaxed place. Two Wine Towns, Two Flavors"
1965,"A one-story-and-basement building containing 23,000 square feet at 450 West 15th Street, in the Manhattan Industrial Center, has been leased to Samuel Sobel, Inc., tobacco and candy distrubutor, by the Franchard Corporation, owner of the property.   NEWS OF REALTY: INDUSTRIAL LEASE; Building in Big Complex on W. 15th St. Is Taken"
1971,"Gen Acctg Office, in rept on 6 antipoverty projects among minority groups, calls programs only partly successful, largely because of 'lack of managerial competence'; also accuses OEO of poor planning before setting up programs; 6 projects listed FAULTS FOUND IN AID TO MINORITY GROUPS"
1983,"  AS comet IRAS-Araki-Alcock recedes from its close encounter with the earth on May 11, new calculations are showing that another comet will pass within about six million miles on June 12. This is twice the distance of the earlier comet but still unusually close.   Having had only a few hectic days to prepare for the last encounter, observatories throughout the world are preparing for more extensive observations of the new comet, known for its Japanese discoverers as Sugano-Saigusa-Fujikawa. AS ONE COMET RECEDES, A SECOND IS EXAMINED"
2009,"Park rangers helped ducklings make their way from Park Avenue to Central Park. Make Way for Ducklings, Take 2"
2005,"BERKE-COLLINS--Edith. Suddenly on September 26, 2005. Beloved wife of the late Loree ''Rip'' Collins and the late David Berkowitz. Adored mother of Lynn Dubal, Phebe and Paul Tanners, Robert Berkowitz, Cindy and Andy Lewis, Sherry and Robert Zabel and Craig Collins. Cherished grandmother of Jonathan. Also survived by seven devoted grandchildren. Services Friday 12 noon at ''The Riverside'', 76th St. and Amsterdam Avenue. In lieu of flowers, contributions to Institute for Educational Achievement, 381 Madison Ave., New Milford, NJ 07646. Paid Notice: Deaths  BERKE, COLLINS, EDITH"
1983,"  President Reagan's nomination of William Clark to succeed Interior Secretary James Watt compliments a friend. It will soon be apparent whether the choice also insults friends of the environment. For all those who hope for a reasonable balance between development and preservation, the initial signs are discouraging. To Interior, a One-Way Secretary"
2002,Howard Goldberg reviews 2001 Le Pigeoulet en Provence wine from Vaucluse (S) A Little One Is Transformed
2016,"The candidate, Igor Dodon, finished far ahead of pro-Western challengers, but failed to win the outright majority needed to avoid a runoff election next month. Pro-Russian Candidate Leads Moldova Presidential Vote but Faces Runoff"
1966,A Landau elected trustee North Side Savings Elects
2001," For Men Only      It was close to 10 years ago that men's magazines began to chronicle a phenomenon that would soon enter the cultural vernacular as the era of male vanity. In this new world -- so advertiser-friendly -- men tended to their tan lines and searched for 10-ply cashmere as fetishistically as their wives, daughters and girlfriends did. They primped; they groomed; they made an enemy of rigatoni.    And yet, strangely enough, men had no analogue for the experience so many women refer to as ''going behind the Red Door.'' Until now. No, Elizabeth Arden has not opened a branch of its Red Door salon for men, but a few weeks ago a ruddy-faced Frenchman named Philippe Dumont arrived in New York to open a spa that, as his press material puts it, maintains only one rule: no women allowed. According to the International Spa Association, Nickel -- the name of Mr. Dumont's venture on Eighth Avenue and 14th Street -- is the only spa in the country exclusively for men.   Front Row"
2011,The Israeli Parliament on Monday passed contentious legislation that effectively bans any public call for a boycott against the state of Israel or its West Bank settlements. Israel Bans Boycotts Against the State
2015,"Metropolitan Diary: The end of “Mad Men” brought back memories of bar cars of the past, especially the New Jersey commuter line with its wicker chairs, The Erie-Lackawanna Bar Car"
1976,"For a life of William Remington, State Department employee convicted of perjury during the 1950's H.C.U.A. investigations, I would be very grateful for letters, information, newspaper clippings and personal interviews with victim's friends, enemies and, particularly, second wife. I also need response from political prisoners who have served in any kind of prison environment. Author's Query"
1985,"  A three-judge panel ruled yesterday that the American Legion could exclude a homosexual veterans group from its Veterans Day parade Monday.   Speaking for the panel, Judge Irving R. Kaufman of the United States Court of Appeals for the Second Circuit in Manhattan ruled that New York City had acted properly in issuing a parade permit to the American Legion, and that as a private organization, the legion was entitled to select the groups it wished to march.   3 JUDGES UPHOLD PARADE EXCLUSION"
1962,"Mine Workers and 6 smaller unions threaten to strike Kennecott, Salt Lake City A KENNECOTT STRIKE LOOMS ON BENEFITS"
2012,Will its ruling in the health care case expunge judicial restraint from legal conservatism? The Roberts Court Defines Itself
1987,"LEAD: The engagement of Nancy Loucks Martin to David Everett Gernert has been announced by Mrs. John Garvie Martin of Somers, N.Y., mother of the bride-to-be. Her fiance is the son of Mr. and Mrs. Herbert E. Gernert Jr. of New Vernon, N.J. A September wedding is planned. David E. Gernert, Editor, To Wed Nancy L. Martin"
1996,"Federal investigators examining crash of TWA Flight 800 say that Federal Aviation Administration proposal offered 24 years ago requiring airlines to use technique already in place on some military aircraft to prevent fuel-tank explosions might have prevented explosion; aviation industry successfully lobbied against proposal, saying that procedure and related equipment were unnecessary and too costly; drawing (M) Officials Say Disputed Rule Might Have Saved Jet"
1963, I.C. Rainbow First in Pace
1964,"&#8220;Hungry Nations,&#8221; toy William and Paul Paddock, will be published on Sept. 29 by Little, Brown. The first of the brother authors is an agricultural expert, while the second&#8221; has been abroad 20 years in diplomatic and consular posts. The theme of their book is that any country needs an agricultural surplus before it can industrialize. The authors contend that the United States foreign aid program is ineffective. They advocate doing away with education, housing and even health programs in foreign aid and concentrating on agricultural research. Books—Authors"
1979,&#160; New Bond Issues
2005,"Your article puts forth the idea that technological advances will eventually permit us to determine what people are thinking and that this information may well be used by the government to select individuals for further study and perhaps prosecution.     Have I been mistaken in believing for my entire adult life that only actions, and not thoughts, could be the subject of criminal prosecution in the United States?    William F. Schreiber  Cambridge, Mass.   Roberts v. The Future"
2015,Pamela Newkirk engrossingly transforms what was billed in 1906 as a lesson in ethnography into a larger window on racism. A Fresh Lens on the Notorious Episode of Ota Benga
1999,"STRASSER-Eleanor F. On July 5, 1999 at age 83. Beloved wife of the late Robert Strasser. Loving mother of Peter, Donald and Stephen. Adored grandmother of Scott, Joanne, Jeffrey and Danny. Interment private. A memorial service will be held at Frank E. Campbell, 1076 Madison Avenue at 81 Street on Wednesday, July 7 at 4PM. Contributions in her memory may be made to The New York Hospital Emergency Dept. Paid Notice: Deaths  STRASSER, ELEANOR F."
1961, Queens Bar Chooses Editor
1964,"Brigadier Jonah Munyi, thirdranking officer of the Salvation Army's East Africa Territory (Kenya, Uganda and Tanganyika), ended a five&#8208;day visit to the New York area yesterday. Salvation Army Brigadier From East Africa Ends Visit"
2001,JAKARTA—  Only a present day William Shakespeare could imagine the real life tragedy in Nepal when the Crown Prince eliminated an entire line of a royal dynasty that had ruled that land for more than 200 years.  China and India Face Off in Nepal
1967," Penn Beats Rutgers, 71-70"
1968,"NY Times survey finds NYC dept store sales, June, 5% under June '67, mostly because of United Parcel Service delivery strike Parcel Service Drivers' Strike Cuts Big Stores' Retail Sales; RETAIL SALES CUT BY DRIVER STRIKE"
1999,"In this lesson, students explore Indian and Pakistani leadership, conflicts, struggles over Kashmir and steps toward peace since the Indian subcontinent gained independence from British rule in 1947.  Students work in groups to research specific decades and then create multi-tiered timelines representing Indian and Pakistani relations and politics during those decades. Kashmir in the Crossfire"
1960,"LIMA, Peru, July 8 -- The Caribbean conflicts that have pushed the American republics to a new foreign ministers' consultation have caused difficulty for the South American nations. Regional ties with the northern states and individual internal political problems affect the attitude of each of the ten South American republics.   Regional Ties a Factor"
2017,"Two prestigious Chinese universities, a movie theater chain in South Korea and Japanese automakers were affected, but copycat variants did not seem to have materialized. The Fallout From a Global Cyberattack: ‘A Battle We’re Fighting Every Day’"
2002,Herman Soifer letter agrees with February 24 article on extravagant spending on bar mitzvah parties Bar Mitzvahs and Their Meanings
1964,"ST. LOUIS, Dec. 6&#8212;The New York Giants suddenly entered the picture today in the race for the Eastern Conference championship in the National Football League. And they gave the Cleveland Browns&#8217; coach, Blanton Collier, cause for apprehension. Giants Unexpectedly in Position To Thwart Browns' Title Hopes"
1993,"  The following equity and convertible debt offerings are expected this week:   Aames Financial Corp., Los Angeles, 2.2 million common shares. Oppenheimer. Equity Issues This Week"
1961,D R Carlson wins NMU grant Scholarship Winner Named
1962,"Dies, 96 Frank Weitenkampf Dies at 96; Library's Ex-Curator of Prints"
2005,"JEAN-CLAUDE BLANC was ready on Friday. Blanc, the president of the French tennis federation, sat in his spacious office on the ground floor of Roland Garros with a stack of papers filled with numbers. He knew that I would advocate pulling the French Open into the 21st century by paying female players the same prize money as their male counterparts.     The question of the day was simple: When will women make as much as the men at Roland Garros? ''We'll get there,'' he said. ''We're closing the gap.''   Fraternity and Liberty, Yes, but They Left Out Equality at the French Open"
2006,"Whether State Senator Nicholas Spano wins or loses, his campaign will be tainted by what his followers did at the Police Athletic League gym. In a Gym in Yonkers, a Game of Block the Vote"
1967,"Wonderful Town, by J Fields, J Chodorov, L Bernstein, B Comden and A Green: City Center Theater: 'Wonderful Town' Is Back; City Center Presents Bernstein Musical"
1983,"  Strains have been developing in the relationships between the major American banks and the French Government, mainly as a result of France's severe economic problems and the growing politicization of the French banking system, according to American bankers in Paris.   The latest controversy centers on an attempt by the French Government to require American banks here to continue to lend to financially ailing French companies.   But the troubles go considerably deeper. Earlier this year, the Morgan Guaranty Trust Company and Citibank decided not to participate in a relatively small credit to Credit National, a Government-owned financing agency. Morgan and Citibank had insisted on the inclusion of two clauses, cross default and pari-passu. U.S. BANKS IRKED BY FRANCE"
1963,"LOS ANGELES, July 20-- Paul Keres of the Soviet Union and Fridrik Olafsson of Iceland shared the lead last night at the end of the 10th round in the double-round-robin Piatigorsky Cup chess tournament.  Each had 6 -3 points after the completion of all adjourned games.   KERES, OLAFSSON LEAD CHESS PLAY; Russian Ties for First After Benko and Panno Resign"
